order,image_url,license,author
Accipitriformes,https://upload.wikimedia.org/wikipedia/commons/e/eb/Aigle_fasci%C3%A9_MHNT.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Archaeodontosaurus"" title=""User:Archaeodontosaurus"">Didier Descouens</a>"
Agaricales,https://upload.wikimedia.org/wikipedia/commons/2/24/2025-11-01_D500-1505_Achim-Lammerts_Agaricales-sp.jpg,CC BY-SA 4.0,"<bdi><a href=""//commons.wikimedia.org/wiki/User:Syntaxys"" title=""User:Syntaxys"">Achim Lammerts (Syntaxys)</a></bdi>"
Anguilliformes,https://upload.wikimedia.org/wikipedia/commons/c/cd/Common_eel%2C_photo_from_The_Encyclopedia_of_Food_by_Artemas_Ward.jpg,Public domain,Artemas Ward
Anseriformes,https://upload.wikimedia.org/wikipedia/commons/a/a9/Anseriformes.png,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:%D0%93%D0%BE%D1%82%D0%BB%D0%B8%D0%B1_XI"" title=""User:Готлиб XI"">Готлиб XI</a>"
Apiales,https://upload.wikimedia.org/wikipedia/commons/c/ce/Angelica_atropurpurea_Purple-stemmed_Angelica.jpg,CC0,MariahKRogers
Artiodactyla,https://upload.wikimedia.org/wikipedia/commons/9/95/Aepyceros_melampus_-_001.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Mutari"" title=""User:Mutari"">Mutari</a>"
Asterales,https://upload.wikimedia.org/wikipedia/commons/a/a9/A_sunflower.jpg,Public domain,
Beloniformes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Andrianichthys_kruyti.jpg,Public domain,Max Weber; L. F. de Beaufort
Blattodea,https://upload.wikimedia.org/wikipedia/commons/c/c4/Antena_de_cucaracha_vista_bajo_el_microscopio_electr%C3%B3nico_de_barrido.jpg,CC BY-SA 4.0,Brandon Antonio Segura Torres &amp; Priscilla Vieto Bonilla
Brassicales,https://upload.wikimedia.org/wikipedia/commons/1/19/%28MHNT%29_Alliaria_petiolata_-_flowers.jpg,CC BY-SA 4.0,"<div class=""fn value"">
<a href=""//commons.wikimedia.org/wiki/User:Archaeodontosaurus"" title=""User:Archaeodontosaurus"">Didier Descouens</a></div>"
Bucerotiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Buceros_bicornis_-K%C3%B6ln_Zoo-8a.jpg/330px-Buceros_bicornis_-K%C3%B6ln_Zoo-8a.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/91084415@N00"">Crosa</a>"
Carnivora,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/%28MHNT%29_Sarcophaga_carnaria_-_mating.jpg/330px-%28MHNT%29_Sarcophaga_carnaria_-_mating.jpg,CC BY-SA 4.0,"<div class=""fn value"">
<a href=""//commons.wikimedia.org/wiki/User:Archaeodontosaurus"" title=""User:Archaeodontosaurus"">Didier Descouens</a></div>"
Caryophyllales,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Caryophyllales_-_Carnegiea_gigantea_-_2.jpg/330px-Caryophyllales_-_Carnegiea_gigantea_-_2.jpg,CC BY-SA 4.0,Emőke Dénes
Casuariiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Cassowary_1.jpg/330px-Cassowary_1.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dmitry_Brant"" title=""User:Dmitry Brant"">Dmitry Brant</a>"
Charadriiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Barred_Buttonquail_in_Bhigwan_August_2025_by_Tisha_Mukherjee_02.jpg/330px-Barred_Buttonquail_in_Bhigwan_August_2025_by_Tisha_Mukherjee_02.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Tisha_Mukherjee"" title=""User:Tisha Mukherjee"">Tisha Mukherjee</a>"
Cichliformes,https://upload.wikimedia.org/wikipedia/commons/2/26/Angel_fish.JPG,Public domain,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Bweps&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Bweps (page does not exist)"">user:Bweps</a>"
Ciconiiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/A_stork_in_Faro_02.jpg/330px-A_stork_in_Faro_02.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Kritzolina"" title=""User:Kritzolina"">Kritzolina</a>"
Cingulata,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Agrius_cingulata_MHNT_CUT_2010_0_208_Itatiaia_National_Park_Brazil_female_dorsal.jpg/330px-Agrius_cingulata_MHNT_CUT_2010_0_208_Itatiaia_National_Park_Brazil_female_dorsal.jpg,CC BY-SA 4.0,"<div class=""fn value"">
<a href=""//commons.wikimedia.org/wiki/User:Archaeodontosaurus"" title=""User:Archaeodontosaurus"">Didier Descouens</a></div>"
Cladocera,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Cladocera_%28YPM_IZ_090647%29.jpeg/330px-Cladocera_%28YPM_IZ_090647%29.jpeg,CC0,"<div class=""fn value"">
Andres Gomez-Colunga</div>"
Coleoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/2016.06.10.-02-Kirschgartshaeuser_Schlaege_Mannheim--Scheckhorn-Distelbock.jpg/330px-2016.06.10.-02-Kirschgartshaeuser_Schlaege_Mannheim--Scheckhorn-Distelbock.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Hockei"" title=""User:Hockei"">Andreas Eichler</a>"
Columbiformes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/2019-03-17_Columba_oenas%2C_Jesmond_Dene_8.jpg/330px-2019-03-17_Columba_oenas%2C_Jesmond_Dene_8.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:MPF"" title=""User:MPF"">MPF</a>"
