NCBI Tax ID,Nom scientifique,Nom commun,Règne,Classe,Ordre,OTTID
9606,Homo sapiens,Être humain,Animalia,Mammalia,Primates,770315
9615,Canis lupus familiaris,Chien domestique,Animalia,Mammalia,Carnivora,247333
9685,Felis catus,Chat domestique,Animalia,Mammalia,Carnivora,563166
9913,Bos taurus,Vache domestique,Animalia,Mammalia,Artiodactyla,490099
9823,Sus scrofa,Sanglier / Porc,Animalia,Mammalia,Artiodactyla,730013
10090,Mus musculus,Souris domestique,Animalia,Mammalia,Rodentia,542509
10116,Rattus norvegicus,Rat de Norvège,Animalia,Mammalia,Rodentia,271555
9796,Equus caballus,Cheval,Animalia,Mammalia,Perissodactyla,1068218
9925,Capra hircus,Chèvre domestique,Animalia,Mammalia,Artiodactyla,19017
9940,Ovis aries,Mouton domestique,Animalia,Mammalia,Artiodactyla,70819
9361,Dasypus novemcinctus,Tatou à neuf bandes,Animalia,Mammalia,Cingulata,796672
9371,Erinaceus europaeus,Hérisson d'Europe occidentale,Animalia,Mammalia,Erinaceomorpha,222351
9258,Ornithorhynchus anatinus,Ornithorynque,Animalia,Mammalia,Monotremata,962377
9994,Sciurus vulgaris,Écureuil roux eurasien,Animalia,Mammalia,Rodentia,289915
9669,Mustela putorius furo,Furet domestique,Animalia,Mammalia,Carnivora,923119
35500,Tursiops truncatus,Grand dauphin commun,Animalia,Mammalia,Artiodactyla,403912
9694,Panthera leo,Lion,Animalia,Mammalia,Carnivora,42314
9691,Panthera pardus,Léopard,Animalia,Mammalia,Carnivora,42324
9708,Ursus arctos,Ours brun,Animalia,Mammalia,Carnivora,749624
9739,Elephas maximus,Éléphant d'Asie,Animalia,Mammalia,Proboscidea,124230
9315,Macropus rufus,Kangourou roux,Animalia,Mammalia,Diprotodontia,539171
9305,Didelphis virginiana,Opossum de Virginie,Animalia,Mammalia,Didelphimorphia,948469
9317,Vombatus ursinus,Wombat commun,Animalia,Mammalia,Diprotodontia,597239
